,Points:0,Points:1,Points:2,U:0,U:1,U:2
35,0.045214,-0.2,-0.13759000000000002,-0.013140299999998994,0.030133600000000094,0.005712699999999682
36,0.042006,-0.2,-0.12768,-0.05118699999999876,0.005998799999999527,-0.009863499999999803
37,0.038798,-0.2,-0.11775999999999999,-0.06633500000000048,-0.01279700000000017,-0.02013430000000005
38,0.03559,-0.2,-0.10784,-0.04639799999999816,-0.010125599999999957,-0.029116000000000586
39,0.032382,-0.2,-0.097928,-0.29957300000000053,0.014561319999999989,-0.06081200000000031
40,0.029174000000000002,-0.2,-0.088012,-0.000878999999999408,0.03010019999999991,0.09467629999999971
41,0.026215,-0.2,-0.078863,0.1813919999999989,0.031877869999999975,0.07350869999999965
42,0.064364,-0.2,-0.12982,-0.032410000000000494,-0.044749700000000114,-0.03182599999999969
43,0.059772000000000006,-0.2,-0.12045,-0.06371000000000038,-0.062192000000000025,-0.04675199999999968
44,0.05517999999999999,-0.2,-0.11108,-0.07209999999999894,-0.05370969999999975,-0.05453339999999951
45,0.050588,-0.2,-0.10171000000000001,-0.04516600000000004,0.008581200000000067,-0.07506699999999977
46,0.045995999999999995,-0.2,-0.092346,-0.2627410000000001,0.0020642800000000017,-0.05064769999999985
47,0.041404,-0.2,-0.082978,0.060399999999999565,0.023558549999999956,0.18949640000000034
48,0.037167,-0.2,-0.074335,0.16080499999999986,0.00047377000000001224,0.17012699999999992
49,0.082161,-0.2,-0.11930999999999999,0.10311930000000036,-0.03453499999999998,0.023206599999999966
50,0.076284,-0.2,-0.11069000000000001,0.07446499999999912,-0.054575999999999514,0.015033299999999805
51,0.07040700000000001,-0.2,-0.10207999999999999,0.06598900000000008,-0.049131600000000386,0.024489599999999
52,0.06452999999999999,-0.2,-0.093459,0.08219499999999869,0.016938600000000026,0.007319400000000087
53,0.058653,-0.2,-0.084842,-0.09260399999999969,-0.0017818800000000135,0.044617999999999824
54,0.052775999999999997,-0.2,-0.076226,0.22361199999999926,0.016293400000000013,0.28946200000000033
55,0.047354,-0.2,-0.068276,0.19190599999999947,0.002908869999999994,0.23096640000000068
56,0.098271,-0.2,-0.10637,0.057396299999999734,-0.0198259999999999,0.019178599999999157
57,0.09123099999999999,-0.2,-0.098682,0.012480000000000047,-0.04173719999999981,0.01160300000000003
58,0.08419199999999999,-0.2,-0.090994,0.0037639999999994345,-0.04246660000000024,0.04331150000000061
59,0.077152,-0.2,-0.08330599999999999,0.04858999999999902,0.009207549999999953,0.06870080000000023
60,0.070112,-0.2,-0.07561699999999999,-0.03436799999999973,-0.0028336300000000036,0.08495170000000041
61,0.063073,-0.2,-0.067929,0.23936529999999845,-0.0008085999999999927,0.21403250000000007
62,0.056577999999999996,-0.2,-0.060836,0.1533301999999992,-0.012146547999999993,0.12648599999999988
63,0.11255,-0.2,-0.091419,-0.0419230000000006,-0.015997600000000167,-0.0662710000000013
64,0.10447000000000001,-0.2,-0.084797,-0.0510540000000006,-0.027480100000000007,-0.0009855999999999199
65,0.09639,-0.2,-0.078175,-0.011118499999999365,-0.008426499999999892,0.08154640000000146
66,0.08831,-0.2,-0.07155299999999999,0.06683099999999964,0.033280999999999894,0.08045150000000056
67,0.080231,-0.2,-0.06493099999999999,0.01474859999999989,-0.008658944000000002,0.04673500000000175
68,0.072152,-0.2,-0.058309,0.08398530000000015,-0.022889660000000006,-0.020289999999999253
69,0.064697,-0.2,-0.0522,-0.047601799999999805,-0.007085649999999999,-0.084225
70,0.12426,-0.2,-0.074379,-0.24204499999999918,0.030377399999999888,-0.4601735999999992
71,0.11534000000000001,-0.2,-0.068986,-0.16360499999999956,0.01334930000000023,-0.2729720000000011
72,0.10642,-0.2,-0.063593,-0.027980600000000244,-0.009908499999999876,-0.024663999999999575
73,0.097498,-0.2,-0.0582,0.0579187000000001,0.02012410000000009,0.14165700000000037
74,0.088577,-0.2,-0.05280700000000001,0.03141700000000025,-0.005365908999999999,-0.09856500000000068
75,0.07965599999999999,-0.2,-0.047414,-0.13220869999999962,0.00010006999999999378,-0.2913990000000002
76,0.071425,-0.2,-0.042438,-0.12667500000000054,-0.01476559999999999,-0.17403300000000144
77,0.13364,-0.2,-0.055958,-0.23691660000000025,0.00487599999999988,-0.5302759999999997
78,0.12403,-0.2,-0.051886,-0.1870763999999996,0.027606300000000195,-0.36615399999999987
79,0.11442999999999999,-0.2,-0.047813999999999995,-0.0777019999999995,-0.0018781000000003267,-0.18804100000000012
