"Points:0","Points:2","U:0","U:1","U:2","Res:0","Res:1","Res:2"
-0.017042669999999992,-0.10319176,-13.17229,-1.5318167,1.9547749,5.7323446e-10,-5.294471e-10,-1.9493922e-09
-0.016135978,-0.097919978,-13.171573,-1.3406749,1.9085069,7.0478684e-10,-1.5412245e-10,-1.7022328e-09
-0.015229284,-0.092648193,-13.133589,-1.0407109,1.8453374,1.2657254e-09,3.8947084e-10,-7.0254913e-10
-0.01432259,-0.08737640099999999,-13.044902,-0.6601521,1.764794,1.7970547e-09,2.8026548e-10,-1.2091026e-09
-0.013415895999999998,-0.08210461599999999,-12.883405,-0.24924481,1.6631943,3.214772e-09,-3.4550798e-10,-4.5036024e-09
-0.010364912999999995,-0.14166287,-11.633863,-0.32407865,0.10818022,2.9659914e-12,-1.4798867e-12,5.594443e-12
-0.009948619600000007,-0.13632976,-12.700121,-0.68305427,0.83865565,3.6608958e-10,-4.9349098e-11,2.411275e-10
-0.009532325899999998,-0.13099664,-12.945605,-0.9891189,0.70459604,1.0188735e-09,-1.9567163e-10,5.0932e-10
-0.009116031200000001,-0.12566353,-13.041459,-1.2445865,0.68804413,1.581731e-09,-3.989344e-10,2.50826e-10
-0.008699737500000007,-0.12033042,-13.121793,-1.447253,0.66918314,1.9716946e-09,-5.1319327e-10,-2.032532e-09
-0.008283443699999995,-0.11499729999999998,-13.209464,-1.5823507,0.6517576,1.9611304e-09,-6.2222355e-10,-4.75506e-09
-0.007867150000000002,-0.10966419,-13.295337,-1.6361784,0.63063693,1.9896593e-09,-7.2189116e-10,-5.161705e-09
-0.0074508557999999996,-0.10433108,-13.367949,-1.594412,0.60108805,5.675587e-10,-6.7097283e-10,-3.3435863e-09
-0.007034561599999997,-0.098997965,-13.416532,-1.4409016,0.5615467,6.62094e-10,-2.8568892e-10,-2.8935039e-09
-0.006618267900000003,-0.093664855,-13.427709,-1.170461,0.5127004,1.3894392e-09,2.7130065e-10,-2.1636182e-09
-0.006201974100000007,-0.08833174399999999,-13.379493,-0.8017107,0.45432606,1.9441035e-09,-3.9611522e-10,-2.8575367e-09
-0.005785679900000004,-0.08299862599999999,-13.238746,-0.38151017,0.38323957,3.6961334e-09,-1.4272419e-09,-7.320872e-09
0.0027500718999999892,-0.14202423,-11.59499,-0.31873202,-0.87399817,3.6660987e-12,-1.4167533e-12,4.6884063e-12
0.0026722920999999893,-0.13667504,-12.75459,-0.6695178,-0.24176863,2.8698377e-10,-2.0372247e-11,2.0314035e-10
0.0025945123999999917,-0.13132586,-13.00839,-0.97269404,-0.42257562,9.0491264e-10,-1.315988e-10,3.094802e-10
0.0025167327999999953,-0.12597668,-13.113968,-1.2303836,-0.46861908,1.4630918e-09,-3.1983435e-10,1.4203265e-10
0.0024389530999999976,-0.12062749,-13.19599,-1.4414039,-0.50834537,1.8770094e-09,-4.1243553e-10,-2.0238473e-09
0.0023611732999999978,-0.11527830000000001,-13.27832,-1.5915494,-0.5414194,2.1608058e-09,-4.6061563e-10,-5.7042095e-09
