"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
-8.7268,1.748,14.126,253.81,-0.079087,-0.2,-0.04833
-8.8033,1.4365,14.628,225.84,-0.070841,-0.2,-0.043371
-16.953,0.55508,3.8679,212.6,-0.019672,-0.2,-0.077065
-16.381,0.69807,6.2023,209.97,-0.030438,-0.2,-0.073476
-17.001,1.007,6.4381,194.87,-0.029067,-0.2,-0.0702
-17.569,0.82699,4.0102,197.7,-0.018782,-0.2,-0.073629
-18.004,2.2813,6.681,170.32,-0.027696,-0.2,-0.066924
-18.626,2.074,4.1309,173.46,-0.017892,-0.2,-0.070193
-17.222,0.40196,1.3719,216.17,-0.0085068,-0.2,-0.07909
-17.8,0.61706,1.4277,201.73,-0.0081151,-0.2,-0.075562
-18.906,1.8391,1.3856,177.94,-0.0077235,-0.2,-0.072034
-17.121,0.25335,-1.0912,219.66,0.0028318,-0.2,-0.079504
-17.633,0.39678,-1.1059,205.58,0.0027174,-0.2,-0.075959
-18.777,1.5789,-1.3114,182.28,0.002603,-0.2,-0.072413
-16.688,0.11006,-3.4684,222.95,0.014116,-0.2,-0.078316
-17.123,0.17962,-3.5344,209.1,0.013497,-0.2,-0.074816
-18.266,1.3075,-3.8965,186.23,0.012877,-0.2,-0.071315
-15.943,-0.029775,-5.7081,225.69,0.025106,-0.2,-0.075495
-16.304,-0.027143,-5.8024,212.2,0.023997,-0.2,-0.072126
-17.402,1.0314,-6.3186,189.93,0.022889,-0.2,-0.068758
-14.916,-0.17188,-7.771,227.91,0.035589,-0.2,-0.071156
-15.212,-0.22064,-7.8815,214.89,0.03401,-0.2,-0.067976
-16.229,0.75902,-8.5329,193.35,0.032431,-0.2,-0.064797
-13.638,-0.32504,-9.6535,229.68,0.04534,-0.2,-0.065357
-13.884,-0.40338,-9.7779,216.99,0.043327,-0.2,-0.062437
-14.79,0.49661,-10.506,196.22,0.041314,-0.2,-0.059517
-12.135,-0.49109,-11.337,230.98,0.054172,-0.2,-0.058235
-12.339,-0.57874,-11.469,218.57,0.051766,-0.2,-0.055635
-13.119,0.24433,-12.23,198.67,0.04936,-0.2,-0.053034
-10.432,-0.66558,-12.781,232.14,0.061935,-0.2,-0.049959
-10.599,-0.74898,-12.92,220.06,0.059172,-0.2,-0.047718
-11.25,-0.0013371,-13.696,201.11,0.056409,-0.2,-0.045477
-8.5664,-0.84644,-13.951,233.44,0.068381,-0.2,-0.04062
-8.7079,-0.91237,-14.097,221.75,0.065337,-0.2,-0.038801
-9.2299,-0.24045,-14.878,203.83,0.062293,-0.2,-0.036982
-6.6998,-1.018,-14.811,234.67,0.073461,-0.2,-0.030472
-6.8308,-1.0607,-14.963,223.26,0.070184,-0.2,-0.029103
-7.2552,-0.44223,-15.748,206.04,0.066907,-0.2,-0.027734
-15.622,0.82124,8.1582,208.96,-0.037951,-0.2,-0.069883
-16.225,1.1513,8.489,193.76,-0.036246,-0.2,-0.066771
-17.169,2.4742,8.8187,168.56,-0.034542,-0.2,-0.063658
-14.678,0.93237,9.8475,208.37,-0.045049,-0.2,-0.065529
-15.249,1.2653,10.268,192.85,-0.043029,-0.2,-0.062612
-16.135,2.643,10.699,166.62,-0.041009,-0.2,-0.059696
-13.544,1.0348,11.432,207.44,-0.051654,-0.2,-0.060459
-14.066,1.3562,11.932,191.61,-0.04934,-0.2,-0.057769
-14.887,2.7791,12.466,164.44,-0.047027,-0.2,-0.055079
-12.234,1.1282,12.884,206.51,-0.057692,-0.2,-0.054725
-12.694,1.4349,13.452,190.47,-0.05511,-0.2,-0.052292
-13.439,2.8904,14.075,162.53,-0.052529,-0.2,-0.04986
-10.763,1.2081,14.174,205.85,-0.063096,-0.2,-0.048391
-11.151,1.5031,14.798,189.66,-0.060276,-0.2,-0.046242
-11.807,2.9815,15.495,161.14,-0.057455,-0.2,-0.044093
-9.1531,1.2708,15.285,205.36,-0.067811,-0.2,-0.041529
-9.4636,1.5596,15.955,189.06,-0.064781,-0.2,-0.039686
-10.02,3.0559,16.711,160.19,-0.061752,-0.2,-0.037844
-19.391,3.862,3.7179,125.53,-0.015713,-0.2,-0.060838
-18.751,4.0481,6.3441,123,-0.024229,-0.2,-0.058559
-18.349,5.589,5.4783,57.47,-0.020761,-0.2,-0.050193
-18.885,5.443,2.954,58.748,-0.013534,-0.2,-0.051483
-16.377,5.91,4.214,-10.379,-0.017293,-0.2,-0.041828
-16.694,5.7507,1.9409,-11.637,-0.011355,-0.2,-0.042128
-14.289,5.0797,3.1501,-55.601,-0.013825,-0.2,-0.033462
-13.85,4.3624,1.4108,-64.53,-0.0091757,-0.2,-0.032773
-19.708,3.6964,0.84121,128.63,-0.006938,-0.2,-0.061971
-19.062,5.3263,0.12793,58.248,-0.0061525,-0.2,-0.051907
-16.611,5.5455,-0.64448,-15.958,-0.0053671,-0.2,-0.041844
-13.359,3.6243,-0.74713,-70.002,-0.0045816,-0.2,-0.03178
-19.631,3.5038,-2.0187,132.07,0.0019407,-0.2,-0.061946
-18.89,5.1931,-2.6878,58.879,0.0012785,-0.2,-0.05148
-16.299,5.3772,-3.1129,-17.971,0.00061623,-0.2,-0.041013
-12.81,3.0979,-2.7046,-73.234,-4.6009e-05,-0.2,-0.030546
-19.128,3.2895,-4.8006,135.85,0.010765,-0.2,-0.060764
-18.343,5.0513,-5.4655,61.041,0.0086534,-0.2,-0.050212
-15.747,5.2547,-5.5438,-17.622,0.0065414,-0.2,-0.039661
-12.195,2.8713,-4.6836,-73.776,0.0044294,-0.2,-0.029109
-18.238,3.0519,-7.4371,140.35,0.019377,-0.2,-0.058441
-17.466,4.8986,-8.1296,65.173,0.015866,-0.2,-0.048124
-14.968,5.2067,-7.9019,-14.552,0.012354,-0.2,-0.037806
-11.516,2.9871,-6.6809,-71.657,0.0088425,-0.2,-0.027489
-17.006,2.7919,-9.8672,145.41,0.02762,-0.2,-0.05502
-16.279,4.7266,-10.621,71.193,0.022808,-0.2,-0.045243
-13.961,5.224,-10.158,-8.4784,0.017997,-0.2,-0.035466
-10.751,3.3885,-8.7071,-66.438,0.013185,-0.2,-0.025689
-15.467,2.5116,-12.028,150.7,0.035348,-0.2,-0.050566
-14.807,4.5285,-12.881,78.913,0.029382,-0.2,-0.041615
-12.74,5.2642,-12.252,0.68808,0.023416,-0.2,-0.032663
-9.8846,3.9968,-10.725,-57.782,0.01745,-0.2,-0.023712
-13.677,2.2127,-13.893,156.14,0.042428,-0.2,-0.045166
-13.097,4.2998,-14.861,88.133,0.035496,-0.2,-0.037299
-11.329,5.2842,-14.148,12.61,0.028563,-0.2,-0.029431
-8.9155,4.6619,-12.683,-46.222,0.021631,-0.2,-0.021564
-11.685,1.8979,-15.446,161.72,0.048734,-0.2,-0.038916
-11.201,4.0377,-16.522,98.476,0.04106,-0.2,-0.032354
-9.755,5.2449,-15.81,26.627,0.033386,-0.2,-0.025792
-7.8264,5.2088,-14.511,-32.51,0.025712,-0.2,-0.019231
-9.5413,1.5725,-16.663,167.5,0.054136,-0.2,-0.031908
-9.1778,3.7457,-17.85,109.33,0.045978,-0.2,-0.026833
-8.0585,5.1324,-17.207,41.679,0.03782,-0.2,-0.021758
-6.5159,5.5082,-16.063,-14.917,0.029663,-0.2,-0.016684
-7.443,1.3148,-17.544,171.65,0.058539,-0.2,-0.024271
-7.1752,3.5238,-18.813,116.89,0.050172,-0.2,-0.020808
-6.3589,5.026,-18.205,51.39,0.041804,-0.2,-0.017345
-5.5044,5.5689,-17.092,3.2674,0.033436,-0.2,-0.013882
-17.865,4.2966,8.4784,120,-0.029884,-0.2,-0.055421
-17.442,5.7843,7.4105,52.337,-0.025227,-0.2,-0.047184
-15.494,5.8865,5.8015,-16.211,-0.020569,-0.2,-0.038947
-13.176,4.3296,3.9578,-67.781,-0.015912,-0.2,-0.03071
-16.773,4.5518,10.339,115.88,-0.03522,-0.2,-0.051735
-16.284,5.9645,9.05,45.176,-0.029431,-0.2,-0.043775
-14.293,5.7141,7.1318,-25.507,-0.023641,-0.2,-0.035815
-11.816,3.2999,4.937,-77.978,-0.017852,-0.2,-0.027854
-15.477,4.7726,12.114,111.34,-0.040187,-0.2,-0.047539
-14.958,6.1072,10.637,37.567,-0.033347,-0.2,-0.039998
-12.996,5.4925,8.4202,-35.214,-0.026507,-0.2,-0.032457
-10.379,2.1991,5.7827,-86.422,-0.019667,-0.2,-0.024917
-13.981,4.9623,13.754,107.15,-0.044739,-0.2,-0.042873
-13.462,6.2277,12.129,30.803,-0.03695,-0.2,-0.035886
-11.601,5.265,9.6193,-43.599,-0.02916,-0.2,-0.0289
-8.9529,1.1958,6.5679,-93.728,-0.02137,-0.2,-0.021913
-12.295,5.1227,15.222,103.87,-0.048835,-0.2,-0.037783
-11.797,6.3328,13.484,25.77,-0.040214,-0.2,-0.031474
-10.103,5.075,10.705,-49.716,-0.031594,-0.2,-0.025164
-7.5394,0.38601,7.2973,-99.353,-0.022973,-0.2,-0.018854
-10.446,5.2548,16.496,101.59,-0.052434,-0.2,-0.03232
-9.9893,6.4277,14.681,22.503,-0.043116,-0.2,-0.026796
-8.521,4.9619,11.672,-53.592,-0.033799,-0.2,-0.021272
-6.1408,-0.16948,7.9721,-103.15,-0.024481,-0.2,-0.015747
-11.819,2.3157,2.0095,-89.763,-0.011173,-0.2,-0.02982
-10.27,0.38114,2.798,-101.29,-0.013054,-0.2,-0.026774
-8.6737,-1.5093,3.3952,-108.78,-0.014834,-0.2,-0.023657
-7.1611,-3.1234,3.9923,-114.94,-0.016525,-0.2,-0.020483
-5.7432,-4.3749,4.5753,-119.68,-0.018134,-0.2,-0.017261
-4.3982,-5.2363,5.1341,-122.92,-0.019665,-0.2,-0.014
-10.988,0.84334,0.1344,-94.988,-0.0064747,-0.2,-0.028662
-9.365,-1.5252,0.97039,-107.69,-0.0082806,-0.2,-0.025464
-7.7994,-3.6706,1.6315,-116.59,-0.010011,-0.2,-0.022205
-6.3414,-5.4568,2.2955,-123.67,-0.011673,-0.2,-0.018898
-4.9798,-6.8169,2.9255,-128.94,-0.013272,-0.2,-0.015551
-3.6789,-7.7383,3.5207,-132.52,-0.014812,-0.2,-0.012172
-10.204,-0.13403,-1.5459,-98.509,-0.0018221,-0.2,-0.027294
-8.5398,-2.6963,-0.64904,-111.8,-0.0035405,-0.2,-0.023974
-7.0172,-4.9847,0.073525,-121.64,-0.0052084,-0.2,-0.020604
-5.6066,-6.9163,0.76175,-129.36,-0.0068292,-0.2,-0.017194
-4.2865,-8.3846,1.3866,-135.07,-0.0084063,-0.2,-0.013752
-3.0068,-9.3723,1.982,-139.06,-0.0099424,-0.2,-0.010285
-9.4789,-0.53599,-3.3199,-99.38,0.0027811,-0.2,-0.025749
-7.7947,-3.2111,-2.3674,-113.09,0.0011608,-0.2,-0.022332
-6.2994,-5.6152,-1.591,-123.55,-0.00043382,-0.2,-0.018876
-4.9067,-7.6638,-0.89159,-131.71,-0.0020026,-0.2,-0.015389
-3.6132,-9.2051,-0.28504,-137.83,-0.003547,-0.2,-0.011878
-2.3426,-10.242,0.29915,-142.19,-0.0050682,-0.2,-0.0083495
-8.8132,-0.32992,-5.1744,-98.013,0.0073316,-0.2,-0.024044
-7.1147,-3.0264,-4.1501,-111.98,0.0058194,-0.2,-0.020555
-5.6204,-5.4786,-3.302,-122.73,0.0043077,-0.2,-0.017037
-4.2172,-7.581,-2.5788,-131.06,0.0028006,-0.2,-0.013496
-2.9226,-9.1556,-1.9821,-137.36,0.0012988,-0.2,-0.0099401
-1.6399,-10.216,-1.4241,-141.88,-0.00019777,-0.2,-0.0063733
-8.1677,0.41077,-7.1658,-93.933,0.011822,-0.2,-0.022183
-6.4704,-2.1514,-6.0975,-108.09,0.010427,-0.2,-0.018645
-4.9657,-4.5525,-5.1615,-119.02,0.0090086,-0.2,-0.015088
-3.5292,-6.6496,-4.3719,-127.37,0.007573,-0.2,-0.011518
-2.2038,-8.2303,-3.7431,-133.6,0.0061236,-0.2,-0.0079404
-0.89951,-9.2906,-3.1928,-138,0.0046615,-0.2,-0.0043593
-7.4955,1.6141,-9.2952,-86.517,0.016244,-0.2,-0.020169
-5.8174,-0.60023,-8.2619,-100.75,0.014977,-0.2,-0.016606
-4.3181,-2.7861,-7.2637,-112,0.013661,-0.2,-0.013034
-2.8543,-4.7886,-6.3661,-120.48,0.012307,-0.2,-0.0094587
