"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
22.932,-12.366,3.8171,1.9316,-0.013534,-0.2,-0.051483
-6.1536,-10.672,4.0653,2.7474,-0.017293,-0.2,-0.041828
-6.8531,-10.871,3.9508,1.2617,-0.011355,-0.2,-0.042128
-29.412,-9.0429,2.9081,0.93841,-0.0091757,-0.2,-0.032773
-25.508,-9.3238,3.4143,2.0723,-0.013825,-0.2,-0.033462
53.334,-13.122,2.6424,0.50963,-0.006938,-0.2,-0.061971
22.612,-12.472,3.7373,0.071834,-0.0061525,-0.2,-0.051907
-8.758,-10.816,3.795,-0.42407,-0.0053671,-0.2,-0.041844
-31.779,-8.7246,2.3962,-0.46828,-0.0045816,-0.2,-0.03178
54.689,-13.031,2.512,-1.3916,0.0019407,-0.2,-0.061946
22.896,-12.35,3.6464,-1.7768,0.0012785,-0.2,-0.05148
-9.6415,-10.611,3.6703,-2.0298,0.00061623,-0.2,-0.041013
-33.185,-8.3597,2.0404,-1.7466,-4.6009e-05,-0.2,-0.030546
56.398,-12.677,2.3662,-3.2415,0.010765,-0.2,-0.060764
23.908,-11.999,3.5502,-3.6027,0.0086534,-0.2,-0.050212
-9.4956,-10.247,3.5841,-3.6121,0.0065414,-0.2,-0.039661
-33.396,-7.9471,1.8866,-3.0377,0.0044294,-0.2,-0.029109
58.411,-12.074,2.2036,-4.9966,0.019377,-0.2,-0.058441
25.7,-11.431,3.4486,-5.3584,0.015866,-0.2,-0.048124
-8.1897,-9.7327,3.5549,-5.148,0.012354,-0.2,-0.037806
-32.46,-7.4906,1.9586,-4.3381,0.0088425,-0.2,-0.027489
60.658,-11.244,2.0246,-6.6187,0.02762,-0.2,-0.05502
28.267,-10.659,3.3367,-7.0075,0.022808,-0.2,-0.045243
-5.6231,-9.0741,3.578,-6.6196,0.017997,-0.2,-0.035466
-30.225,-6.9768,2.2275,-5.6518,0.013185,-0.2,-0.025689
63.053,-10.215,1.8295,-8.0732,0.035348,-0.2,-0.050566
31.568,-9.7036,3.2067,-8.5126,0.029382,-0.2,-0.041615
-1.7614,-8.2784,3.6261,-7.9932,0.023416,-0.2,-0.032663
-26.566,-6.3962,2.6489,-6.9585,0.01745,-0.2,-0.023712
65.551,-9.0215,1.6201,-9.3305,0.042428,-0.2,-0.045166
35.554,-8.5914,3.0516,-9.8403,0.035496,-0.2,-0.037299
3.2625,-7.3616,3.6625,-9.245,0.028563,-0.2,-0.029431
-21.704,-5.7523,3.1253,-8.2268,0.021631,-0.2,-0.021564
68.184,-7.696,1.4013,-10.367,0.048734,-0.2,-0.038916
40.135,-7.3523,2.87,-10.964,0.04106,-0.2,-0.032354
9.1803,-6.3405,3.6529,-10.351,0.033386,-0.2,-0.025792
-15.995,-5.0395,3.5358,-9.4132,0.025712,-0.2,-0.019231
70.949,-6.2739,1.1813,-11.176,0.054136,-0.2,-0.031908
45.054,-6.0192,2.6676,-11.878,0.045978,-0.2,-0.026833
15.581,-5.2354,3.5867,-11.295,0.03782,-0.2,-0.021758
-8.6467,-4.1893,3.7831,-10.431,0.029663,-0.2,-0.016684
72.996,-4.8783,1.0038,-11.752,0.058539,-0.2,-0.024271
48.697,-4.6882,2.5127,-12.545,0.050172,-0.2,-0.020808
19.975,-4.1203,3.5183,-11.98,0.041804,-0.2,-0.017345
-0.8819,-3.5341,3.8543,-11.118,0.033436,-0.2,-0.013882
49.596,-11.93,3.049,5.5911,-0.029884,-0.2,-0.055421
20.096,-11.414,4.0421,4.8503,-0.025227,-0.2,-0.047184
-8.6672,-10.094,4.0424,3.7759,-0.020569,-0.2,-0.038947
-30.79,-8.6118,2.9,2.611,-0.015912,-0.2,-0.03071
47.744,-11.2,3.2253,6.8095,-0.03522,-0.2,-0.051735
17.033,-10.645,4.1651,5.9151,-0.029431,-0.2,-0.043775
-12.562,-9.3171,3.9215,4.6452,-0.023641,-0.2,-0.035815
-35.161,-7.7421,2.2168,3.2618,-0.017852,-0.2,-0.027854
45.773,-10.329,3.3823,7.9667,-0.040187,-0.2,-0.047539
13.813,-9.7703,4.2615,6.9436,-0.033347,-0.2,-0.039998
-16.65,-8.4763,3.7619,5.4896,-0.026507,-0.2,-0.032457
-38.743,-6.8118,1.4874,3.825,-0.019667,-0.2,-0.024917
43.928,-9.3248,3.5194,9.0424,-0.044739,-0.2,-0.042873
11.004,-8.7859,4.337,7.909,-0.03695,-0.2,-0.035886
-20.174,-7.5703,3.5938,6.2763,-0.02916,-0.2,-0.0289
-41.865,-5.881,0.82405,4.3491,-0.02137,-0.2,-0.021913
42.509,-8.1944,3.6359,10.012,-0.048835,-0.2,-0.037783
8.973,-7.6945,4.3993,8.785,-0.040214,-0.2,-0.031474
-22.728,-6.5959,3.4516,6.9881,-0.031594,-0.2,-0.025164
-44.276,-4.9532,0.29086,4.835,-0.022973,-0.2,-0.018854
41.563,-6.9541,3.7309,10.859,-0.052434,-0.2,-0.03232
7.6906,-6.5122,4.4555,9.5602,-0.043116,-0.2,-0.026796
-24.339,-5.5648,3.3644,7.6215,-0.033799,-0.2,-0.021272
-45.894,-4.0315,-0.072976,5.2827,-0.024481,-0.2,-0.015747
-40.205,-7.7672,1.5443,1.3521,-0.011173,-0.2,-0.02982
-45.217,-6.7772,0.29386,1.8769,-0.013054,-0.2,-0.026774
-48.468,-5.7431,-0.92385,2.2768,-0.014834,-0.2,-0.023657
-51.172,-4.7536,-1.9585,2.6798,-0.016525,-0.2,-0.020483
-53.248,-3.816,-2.7551,3.0732,-0.018134,-0.2,-0.017261
-54.645,-2.9195,-3.2979,3.4489,-0.019665,-0.2,-0.014
-42.468,-7.2345,0.57367,0.11539,-0.0064747,-0.2,-0.028662
-48.016,-6.1962,-0.95299,0.66507,-0.0082806,-0.2,-0.025464
-51.932,-5.1817,-2.3316,1.1031,-0.010011,-0.2,-0.022205
-55.074,-4.2257,-3.468,1.5475,-0.011673,-0.2,-0.018898
-57.399,-3.3209,-4.3241,1.9697,-0.013272,-0.2,-0.015551
-58.966,-2.447,-4.8962,2.369,-0.014812,-0.2,-0.012172
-44.006,-6.7209,-0.063646,-1.0001,-0.0018221,-0.2,-0.027294
-49.822,-5.6595,-1.7214,-0.41972,-0.0035405,-0.2,-0.023974
-54.174,-4.6727,-3.1859,0.053044,-0.0052084,-0.2,-0.020604
-57.615,-3.7445,-4.4055,0.50971,-0.0068292,-0.2,-0.017194
-60.154,-2.8616,-5.3234,0.9268,-0.0084063,-0.2,-0.013752
-61.911,-1.9948,-5.9346,1.3267,-0.0099424,-0.2,-0.010285
-44.338,-6.2387,-0.33146,-2.1762,0.0027811,-0.2,-0.025749
-50.344,-5.1653,-2.0652,-1.5709,0.0011608,-0.2,-0.022332
-54.981,-4.1941,-3.5968,-1.0716,-0.00043382,-0.2,-0.018876
-58.628,-3.2747,-4.8863,-0.61332,-0.0020026,-0.2,-0.015389
-61.355,-2.4048,-5.8497,-0.20964,-0.003547,-0.2,-0.011878
-63.274,-1.5407,-6.4948,0.18289,-0.0050682,-0.2,-0.0083495
-43.683,-5.7856,-0.20874,-3.3998,0.0073316,-0.2,-0.024044
-49.787,-4.7007,-1.9551,-2.7582,0.0058194,-0.2,-0.020555
-54.54,-3.7302,-3.5147,-2.2226,0.0043077,-0.2,-0.017037
-58.256,-2.8042,-4.8379,-1.7563,0.0028006,-0.2,-0.013496
-61.064,-1.9331,-5.8224,-1.3615,0.0012988,-0.2,-0.0099401
-63.046,-1.0634,-6.4794,-0.98669,-0.00019777,-0.2,-0.0063733
-41.866,-5.339,0.26419,-4.6995,0.011822,-0.2,-0.022183
-48.009,-4.2536,-1.3998,-4.0374,0.010427,-0.2,-0.018645
-52.803,-3.2773,-2.9303,-3.4555,0.0090086,-0.2,-0.015088
-56.497,-2.3321,-4.2522,-2.9562,0.007573,-0.2,-0.011518
-59.261,-1.4446,-5.2408,-2.5471,0.0061236,-0.2,-0.0079404
-61.192,-0.5646,-5.8961,-2.18,0.0046615,-0.2,-0.0043593
-38.642,-4.8723,1.0454,-6.0745,0.016244,-0.2,-0.020169
-44.758,-3.7978,-0.40784,-5.436,0.014977,-0.2,-0.016606
-49.628,-2.8262,-1.8118,-4.8197,0.013661,-0.2,-0.013034
-53.329,-1.8673,-3.0814,-4.2609,0.012307,-0.2,-0.0094587
-56.021,-0.96818,-4.0599,-3.7973,0.01092,-0.2,-0.0058832
-57.844,-0.088598,-4.7195,-3.3975,0.0095024,-0.2,-0.0023117
-34.121,-4.3803,2.0001,-7.489,0.020592,-0.2,-0.018007
-39.962,-3.3235,0.89767,-6.9411,0.019463,-0.2,-0.014443
-44.776,-2.3645,-0.23337,-6.3509,0.018259,-0.2,-0.01088
-48.457,-1.3949,-1.3199,-5.7637,0.016996,-0.2,-0.0073223
-51.127,-0.48325,-2.2011,-5.2407,0.015681,-0.2,-0.0037726
-52.893,0.40123,-2.8205,-4.7839,0.014318,-0.2,-0.00023423
-28.576,-3.8535,2.9114,-8.8646,0.02485,-0.2,-0.015686
-33.748,-2.8214,2.2303,-8.4495,0.023869,-0.2,-0.012147
-38.17,-1.8794,1.4884,-7.9619,0.022789,-0.2,-0.0086191
-41.613,-0.90748,0.73378,-7.4347,0.021628,-0.2,-0.0051048
-44.201,0.022527,0.085832,-6.9148,0.020395,-0.2,-0.0016068
-45.918,0.93616,-0.39301,-6.4262,0.019097,-0.2,0.0018725
-19.955,-3.137,3.554,-10.038,0.028991,-0.2,-0.013182
-24.04,-2.1076,3.2467,-9.7591,0.028171,-0.2,-0.0096979
-27.955,-1.1762,2.8915,-9.4205,0.027226,-0.2,-0.006235
-31.148,-0.22047,2.5153,-9.0377,0.02618,-0.2,-0.0027947
-33.675,0.71573,2.1792,-8.6245,0.025042,-0.2,0.00062134
-35.435,1.6488,1.9258,-8.2029,0.023821,-0.2,0.0040113
-5.3084,-2.6524,3.8231,-11.091,0.03297,-0.2,-0.01046
-8.8725,-1.6009,3.7598,-11.014,0.032326,-0.2,-0.0070677
-12.243,-0.62339,3.675,-10.871,0.031533,-0.2,-0.0037072
-15.043,0.36292,3.5812,-10.666,0.030616,-0.2,-0.00037829
-17.251,1.3381,3.496,-10.403,0.02959,-0.2,0.0029185
-18.799,2.3052,3.4344,-10.092,0.028461,-0.2,0.0061818
159.71,-2.2529,-1.8702,-8.9997,0.12906,-0.2,-0.037851
164.19,0,0,0,0.13908,-0.2,-0.040838
150.74,-2.6851,-1.9336,-10.022,0.11904,-0.2,-0.034863
141.22,-2.7091,-1.278,-10.284,0.10902,-0.2,-0.031876
130.48,-2.8994,-0.21295,-10.359,0.098995,-0.2,-0.028888
118.54,-3.0577,-0.082249,-10.286,0.088973,-0.2,-0.0259
107.78,-3.1708,-0.56221,-10.15,0.079819,-0.2,-0.023169
159.3,-1.2405,-1.9117,-9.2529,0.13243,-0.2,-0.02333
163.8,0,0,0,0.14274,-0.2,-0.025191
150.21,-1.5425,-1.9882,-10.307,0.12213,-0.2,-0.021469
140.7,-1.5829,-1.3333,-10.542,0.11182,-0.2,-0.019608
130.06,-1.7651,-0.27229,-10.615,0.10151,-0.2,-0.017747
118.17,-1.9526,-0.16212,-10.514,0.091199,-0.2,-0.015885
107.63,-2.1131,-0.65384,-10.353,0.081875,-0.2,-0.014198
158.42,-0.22466,-2.0052,-9.4472,0.13413,-0.2,-0.0085248
162.85,0,0,0,0.14458,-0.2,-0.0092322
149.36,-0.39217,-2.0716,-10.487,0.12367,-0.2,-0.0078175
139.98,-0.4532,-1.3971,-10.682,0.11321,-0.2,-0.0071101
129.51,-0.62259,-0.33092,-10.745,0.10276,-0.2,-0.0064027
117.69,-0.84164,-0.23879,-10.613,0.092297,-0.2,-0.0056954
107.41,-1.0553,-0.7402,-10.435,0.082929,-0.2,-0.0050572
157.86,0.77999,-2.164,-9.524,0.13421,-0.2,0.0063696
162.22,0,0,0,0.14469,-0.2,0.0068263
148.73,0.75523,-2.1885,-10.517,0.12373,-0.2,0.005913
139.34,0.67262,-1.4741,-10.687,0.11325,-0.2,0.0054563
128.97,0.51855,-0.3898,-10.741,0.10276,-0.2,0.0049996
117.19,0.2616,-0.30837,-10.577,0.092279,-0.2,0.0045429
107.16,-0.0097557,-0.81571,-10.394,0.082975,-0.2,0.0041425
158.86,1.7665,-2.3469,-9.3408,0.13269,-0.2,0.021185
163.74,0,0,0,0.14307,-0.2,0.022804
148.77,1.9131,-2.3198,-10.365,0.1223,-0.2,0.019566
138.89,1.795,-1.5465,-10.545,0.11192,-0.2,0.017947
128.39,1.6462,-0.43583,-10.603,0.10153,-0.2,0.016329
116.53,1.3398,-0.36749,-10.41,0.091147,-0.2,0.014709
