NU,X,Y,Ux,Uy
0.01,0.05499999999999999,0.06999999999999999,-0.141957,-0.0121096
0.01,0.05999999999999999,0.06999999999999999,-0.144856,-0.068168
0.01,0.06499999999999999,0.06999999999999999,-0.148391,-0.125271
0.01,0.06999999999999999,0.06999999999999999,-0.150787,-0.18211
0.01,0.075,0.06999999999999999,-0.149218,-0.235587
0.01,0.08,0.06999999999999999,-0.140014,-0.2797
0.01,0.085,0.06999999999999999,-0.119344,-0.304343
0.01,0.09000000000000001,0.06999999999999999,-0.0850746,-0.294621
0.01,0.09500000000000001,0.06999999999999999,-0.0424952,-0.232043
0.01,0.10000000000000002,0.06999999999999999,-0.010228,-0.100702
0.01,0.005,0.075,-0.0117567,0.111537
0.01,0.01,0.075,-0.043311,0.243743
0.01,0.015,0.075,-0.0784936,0.299633
0.01,0.02,0.075,-0.100969,0.304544
0.01,0.025,0.075,-0.108837,0.279838
0.01,0.030000000000000002,0.075,-0.106359,0.239758
0.01,0.035,0.075,-0.0982871,0.19272
0.01,0.04,0.075,-0.0886348,0.143108
0.01,0.045,0.075,-0.0804384,0.0927552
0.01,0.049999999999999996,0.075,-0.0757573,0.0419986
0.01,0.05499999999999999,0.075,-0.0757674,-0.00963534
0.01,0.05999999999999999,0.075,-0.0808059,-0.0629395
0.01,0.06499999999999999,0.075,-0.0902908,-0.118567
0.01,0.06999999999999999,0.075,-0.102498,-0.176421
0.01,0.075,0.075,-0.114257,-0.234685
0.01,0.08,0.075,-0.120728,-0.288272
0.01,0.085,0.075,-0.115547,-0.326639
0.01,0.09000000000000001,0.075,-0.0924177,-0.331367
0.01,0.09500000000000001,0.075,-0.0523277,-0.275156
0.01,0.10000000000000002,0.075,-0.0144012,-0.12722
0.01,0.005,0.08,-0.0174622,0.140559
0.01,0.01,0.08,-0.0547221,0.28205
0.01,0.015,0.08,-0.0829541,0.324458
0.01,0.02,0.08,-0.0883984,0.31207
0.01,0.025,0.08,-0.0755689,0.273983
0.01,0.030000000000000002,0.08,-0.0532015,0.22629
0.01,0.035,0.08,-0.0282098,0.176854
0.01,0.04,0.08,-0.00538325,0.128791
0.01,0.045,0.08,0.0121467,0.0826916
0.01,0.049999999999999996,0.08,0.0224456,0.0378672
0.01,0.05499999999999999,0.08,0.0244069,-0.00700779
0.01,0.05999999999999999,0.08,0.0175634,-0.053557
0.01,0.06499999999999999,0.08,0.00212423,-0.103436
0.01,0.06999999999999999,0.08,-0.0207301,-0.157919
0.01,0.075,0.08,-0.0482721,-0.217053
0.01,0.08,0.08,-0.0754134,-0.277905
0.01,0.085,0.08,-0.0938288,-0.331377
0.01,0.09000000000000001,0.08,-0.0921967,-0.357387
0.01,0.09500000000000001,0.08,-0.0631828,-0.319157
0.01,0.10000000000000002,0.08,-0.0205133,-0.161826
0.01,0.005,0.085,-0.0251917,0.181528
0.01,0.01,0.085,-0.06553,0.31788
0.01,0.015,0.085,-0.0734461,0.331279
0.01,0.02,0.085,-0.0483364,0.295143
0.01,0.025,0.085,-0.0059602,0.243887
0.01,0.030000000000000002,0.085,0.0406903,0.192045
0.01,0.035,0.085,0.0839834,0.144741
0.01,0.04,0.085,0.119748,0.102728
0.01,0.045,0.085,0.145828,0.0649806
0.01,0.049999999999999996,0.085,0.161127,0.0298329
0.01,0.05499999999999999,0.085,0.165019,-0.00462934
0.01,0.05999999999999999,0.085,0.157056,-0.0404932
0.01,0.06499999999999999,0.085,0.136934,-0.0800338
0.01,0.06999999999999999,0.085,0.104758,-0.12565
0.01,0.075,0.085,0.0617214,-0.17943
0.01,0.08,0.085,0.0114193,-0.241725
0.01,0.085,0.085,-0.0380831,-0.307628
0.01,0.09000000000000001,0.085,-0.0717732,-0.360043
0.01,0.09500000000000001,0.085,-0.0697254,-0.356685
0.01,0.10000000000000002,0.085,-0.0275929,-0.208116
0.01,0.005,0.09000000000000001,-0.0289668,0.238661
0.01,0.01,0.09000000000000001,-0.0601682,0.336166
0.01,0.015,0.09000000000000001,-0.0220561,0.30062
0.01,0.02,0.09000000000000001,0.0503179,0.240007
0.01,0.025,0.09000000000000001,0.127294,0.182761
0.01,0.030000000000000002,0.09000000000000001,0.196608,0.135193
0.01,0.035,0.09000000000000001,0.253811,0.0972198
0.01,0.04,0.09000000000000001,0.297619,0.066709
0.01,0.045,0.09000000000000001,0.328115,0.041264
0.01,0.049999999999999996,0.09000000000000001,0.345715,0.0187449
0.01,0.05499999999999999,0.09000000000000001,0.35062,-0.00276962
0.01,0.05999999999999999,0.09000000000000001,0.34258,-0.0251881
0.01,0.06499999999999999,0.09000000000000001,0.320815,-0.0506682
0.01,0.06999999999999999,0.09000000000000001,0.284084,-0.0818998
0.01,0.075,0.09000000000000001,0.231131,-0.122286
0.01,0.08,0.09000000000000001,0.161861,-0.175518
0.01,0.085,0.09000000000000001,0.0796397,-0.243337
0.01,0.09000000000000001,0.09000000000000001,-0.00332123,-0.31925
0.01,0.09500000000000001,0.09000000000000001,-0.053861,-0.368963
0.01,0.10000000000000002,0.09000000000000001,-0.0276575,-0.266976
0.01,0.005,0.09500000000000001,0.00960731,0.280853
0.01,0.01,0.09500000000000001,0.0212354,0.294812
0.01,0.015,0.09500000000000001,0.138822,0.210917
0.01,0.02,0.09500000000000001,0.264212,0.143409
0.01,0.025,0.09500000000000001,0.364191,0.0971388
0.01,0.030000000000000002,0.09500000000000001,0.440118,0.0657489
0.01,0.035,0.09500000000000001,0.496405,0.0442183
0.01,0.04,0.09500000000000001,0.536459,0.0288742
0.01,0.045,0.09500000000000001,0.562975,0.0171963
0.01,0.049999999999999996,0.09500000000000001,0.577803,0.00749274
0.01,0.05499999999999999,0.09500000000000001,0.581875,-0.00147631
0.01,0.05999999999999999,0.09500000000000001,0.575215,-0.0108195
0.01,0.06499999999999999,0.09500000000000001,0.556876,-0.021817
0.01,0.06999999999999999,0.09500000000000001,0.524767,-0.0363033
0.01,0.075,0.09500000000000001,0.475484,-0.0572243
0.01,0.08,0.09500000000000001,0.404301,-0.0893348
0.01,0.085,0.09500000000000001,0.304852,-0.139666
0.01,0.09000000000000001,0.09500000000000001,0.173077,-0.216281
0.01,0.09500000000000001,0.09500000000000001,0.0427372,-0.311358
0.01,0.10000000000000002,0.09500000000000001,0.0201229,-0.298856
0.01,0.005,0.10000000000000002,0.30097,0.145467
0.01,0.01,0.10000000000000002,0.397764,0.127058
0.01,0.015,0.10000000000000002,0.557515,0.0759182
0.01,0.02,0.10000000000000002,0.67447,0.043678
0.01,0.025,0.10000000000000002,0.743878,0.0255834
0.01,0.030000000000000002,0.10000000000000002,0.787083,0.0152766
0.01,0.035,0.10000000000000002,0.815358,0.0092508
0.01,0.04,0.10000000000000002,0.833789,0.00554326
0.01,0.045,0.10000000000000002,0.845195,0.00305363
0.01,0.049999999999999996,0.10000000000000002,0.85117,0.00116769
0.01,0.05499999999999999,0.10000000000000002,0.852466,-0.000489858
0.01,0.05999999999999999,0.10000000000000002,0.849195,-0.00221396
0.01,0.06499999999999999,0.10000000000000002,0.840835,-0.00434607
0.01,0.06999999999999999,0.10000000000000002,0.826008,-0.00743851
0.01,0.075,0.10000000000000002,0.80199,-0.0125463
0.01,0.08,0.10000000000000002,0.763581,-0.0217692
0.01,0.085,0.10000000000000002,0.699045,-0.0392265
0.01,0.09000000000000001,0.10000000000000002,0.583949,-0.0724611
0.01,0.09500000000000001,0.10000000000000002,0.417315,-0.127342
0.01,0.10000000000000002,0.10000000000000002,0.310264,-0.148799
0.06,0.005,0.005,0.000257261,-0.000253613
